x y
0.00014062 1.73458079e+02
0.00059115 1.74444624e+02
0.00104167 1.84275271e+02
0.00149219 1.48960813e+02
0.00194272 1.23705724e+02
0.00239324 1.07803194e+02
0.00284376 9.43571479e+01
0.00329428 8.52234566e+01
0.00374481 7.83026463e+01
0.00419533 7.29470722e+01
0.00464585 6.89422968e+01
0.00509638 6.60164695e+01
0.0055469 6.37387152e+01
0.00599742 6.15408496e+01
0.00644794 5.96546399e+01
0.00689847 5.65275439e+01
0.00734899 5.33958083e+01
0.00779951 5.00890153e+01
0.00825004 4.68324350e+01
0.00870056 4.35892568e+01
0.00915108 3.97134568e+01
0.00960161 3.54293809e+01
0.01005213 3.13766020e+01
0.01050265 2.78072418e+01
0.01095317 2.42897299e+01
0.0114037 2.08149839e+01
0.01185422 1.73723152e+01
0.01230474 1.46708230e+01
0.01275527 1.21658209e+01
0.01320579 9.53741235e+00
0.01365631 7.38833731e+00
0.01410683 5.88620646e+00
0.01455736 4.62810919e+00
0.01500788 3.47070563e+00
0.0154584 2.55087307e+00
0.01590893 1.95029197e+00
0.01635945 1.45263580e+00
0.01680997 1.10788617e+00
0.01726049 9.31685486e-01
0.01771102 7.25748609e-01
0.01816154 5.62273793e-01
0.01861206 4.64626120e-01
0.01906259 4.28252942e-01
0.01951311 3.59083053e-01
0.01996363 2.72468673e-01
0.02041416 2.23479699e-01
0.02086468 1.62267476e-01
0.0213152 1.27277675e-01
0.02176572 1.31035162e-01
0.02221625 1.23467355e-01
0.02266677 1.20509889e-01
0.02311729 7.68361393e-02
0.02356782 6.23393319e-02
0.02401834 6.00441251e-02
0.02446886 6.49002134e-02
0.02491938 7.55198680e-02
0.02536991 6.42102135e-02
0.02582043 4.08621646e-02
0.02627095 4.49027643e-02
0.02672148 5.23990555e-02
0.027172 5.98041706e-02
0.02762252 4.28680498e-02
0.02807304 3.26401932e-02
0.02852357 3.41527506e-02
0.02897409 2.15495089e-02
0.02942461 1.90837834e-02
0.02987514 4.22045429e-02
